Book Name,Author,Rating,Customers_Rated,Price
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.4 out of 5 stars,"4,454",₹178.00
My Activity- ABC Colouring Book,Dreamland Publications,4.4 out of 5 stars,"2,043",₹78.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"2,317",₹432.00
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"5,427",₹790.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"74,049",₹294.00
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,"3,872",₹99.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"51,155",₹95.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,"3,829",₹193.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"7,511",₹200.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"9,729",₹135.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"6,522",₹148.00
Think & Grow Rich,Napoleon Hill,4.5 out of 5 stars,"51,478",₹99.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"3,874",₹178.00
Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,MTG Editorial Board,4.5 out of 5 stars,"1,935",₹470.00
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.5 out of 5 stars,"5,128",₹320.00
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4.6 out of 5 stars,"3,045",₹160.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"19,236",₹379.00
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.4 out of 5 stars,"7,213",₹334.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6 out of 5 stars,"27,877",₹257.00
The 12-Week Fitness Project,Rujuta Diwekar,4.4 out of 5 stars,"2,069",₹167.00
India & World Map ( Both Political & Physical ) with Constitution of India Chart & History of India Chart | NON…,Vidya Chitr Prakashan,4.6 out of 5 stars,540,₹160.00
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6 out of 5 stars,"1,568",₹129.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"3,582",₹99.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"4,798",₹110.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"29,166",₹305.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.6 out of 5 stars,"4,665",₹480.00
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,4.5 out of 5 stars,"41,259",₹226.00
All set to Read-A Phonic Reader-Level 1- PHONICS READERS- 6 books in a Box: Box set,Om Books Editorial Team,4.5 out of 5 stars,593,₹487.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"5,157",₹199.00
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.6 out of 5 stars,"10,424",₹173.00
How to Prepare for Verbal Ability and Reading Comprehension for CAT | 9th Edition,Arun Sharma,4.5 out of 5 stars,"1,013",₹643.00
Brilliant Brain Activity Book 3+,Dreamland Publications,4.6 out of 5 stars,"1,174",₹161.00
Metamorphosis,Franz Kafka,4.5 out of 5 stars,"3,569",₹70.00
Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,632",₹415.00
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,"7,911",₹247.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"7,085",₹260.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"5,007",₹315.00
"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3 out of 5 stars,"2,022",₹127.00
CBSE All In One Science Class 10 for for 2022 Exam,Sanubia & Rashmi Gupta Sonal Singh,4.1 out of 5 stars,124,₹370.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"51,478",₹139.00
The Girl in Room 105,Chetan Bhagat,4.3 out of 5 stars,"11,801",₹133.00
CBSE All In One Social Science Class 10 for 2022 Exam,Farah Sultan Madhumitta Pattrea,4.2 out of 5 stars,189,₹340.00
The Diary of a Young Girl,Anne Frank,4.6 out of 5 stars,"3,251",₹99.00
Eating in the Age of Dieting,Rujuta Diwekar,4.6 out of 5 stars,"1,400",₹146.00
"INDIAN ECONOMY For Civil Services, Universities and Other Examinations | 13th Edition",RAMESH SINGH,4.5 out of 5 stars,89,₹499.00
